area_code,gp_access_score,gp_access_quintile,gp_access_decile
E01000333,0.14828604442162024,5,10
E01000334,0.4480677879060213,4,7
E01000335,1.2954166131724227,1,2
E01000336,0.35948131980998843,4,8
E01000337,0.5071254333033766,3,6
E01000338,0.315188085761972,4,8
E01000339,0.20156631146488638,5,10
E01000340,0.4262421363461292,4,7
E01000341,0.4230324817049685,4,7
E01000342,0.4872255745281807,3,6
E01000343,0.35562973424059574,4,8
E01000344,0.23045320323533186,5,9
E01000345,0.2702529207857235,5,9
E01000346,0.23879830530234944,5,9
E01000347,0.20028244960842212,5,10
E01000348,0.5860829374759274,3,5
E01000349,0.5892925921170882,3,5
E01000350,0.16240852484272691,5,10
E01000351,0.5405058415714469,3,6
E01000352,0.6361535498780331,3,5
E01000353,0.5546283219925536,3,5
E01000354,0.24393375272820642,5,9
E01000355,0.809474900500706,2,3
E01000356,0.1335216330722814,5,10
E01000357,0.3967133136474515,4,7
E01000358,0.3273847733983823,4,8
E01000359,0.29978174348440106,5,9
E01000360,0.39478752086275515,4,7
E01000361,0.4172551033508794,4,7
E01000362,0.35627166516882786,4,8
E01000363,0.5584799075619462,3,5
E01000364,0.6425728591603541,3,5
E01000365,0.5790216972653742,3,5
E01000366,0.26447554243163435,5,9
E01000367,0.44293234048016433,4,7
E01000368,0.3999229682886121,4,7
E01000369,0.21504686095776093,5,10
E01000370,0.45063551161894977,4,7
E01000371,0.5475670817820002,3,6
E01000372,0.29785595069970466,5,9
E01000373,0.4653999229682886,3,6
E01000374,0.9468481191423801,2,3
E01000375,0.3851585569392733,4,7
E01000376,0.6258826550263191,3,5
E01000377,0.6765951983566567,2,4
E01000378,0.44614199512132496,4,7
E01000379,0.36846835280523815,4,8
E01000380,1.1952753883682112,1,2
E01000381,1.3730902554885094,1,2
E01000382,0.7555527025292077,2,4
E01000383,1.7325715752984978,1,1
E01000384,0.34086532289125693,4,8
E01000385,1.183720631660033,1,2
E01000386,0.7472076004621901,2,4
E01000387,0.8447811015534726,2,3
